,date,county,state,temp_max(C),precip_sum(mm),wind_max(km/h),min_humidity(%),max_humidity(%),mean_humidity(%)
3107,2020-06-28,camden,new jersey,26.9,0.2,12.9,46,89,68.0
3108,2020-06-29,camden,new jersey,26.7,0.0,15.4,34,89,58.0
3109,2020-06-30,camden,new jersey,24.8,0.1,10.2,42,84,63.0
3110,2020-07-01,camden,new jersey,23.9,5.7,7.6,56,95,77.0
3111,2020-07-02,camden,new jersey,26.1,0.0,12.6,35,97,63.0
3112,2020-07-03,camden,new jersey,29.1,1.8,11.2,32,66,50.0
3113,2020-07-04,camden,new jersey,26.2,0.4,11.1,48,92,71.0
3114,2020-07-05,camden,new jersey,27.9,0.0,12.0,34,96,68.0
3115,2020-07-06,camden,new jersey,27.1,29.1,12.2,54,97,79.0
3116,2020-07-07,camden,new jersey,24.8,1.3,11.7,63,98,82.0
3117,2020-07-08,camden,new jersey,26.7,0.0,10.4,48,95,74.0
3118,2020-07-09,camden,new jersey,26.7,0.0,10.9,49,99,75.0
3119,2020-07-10,camden,new jersey,23.6,51.7,26.3,89,97,94.0
3120,2020-07-11,camden,new jersey,26.5,0.4,21.0,60,95,76.0
3121,2020-07-12,camden,new jersey,26.4,0.0,16.0,41,78,60.0
3122,2020-07-13,camden,new jersey,25.5,0.2,13.4,43,95,70.0
3123,2020-07-14,camden,new jersey,24.9,0.0,13.0,43,80,61.0
3124,2020-07-15,camden,new jersey,23.9,1.0,13.3,57,84,73.0
3125,2020-07-16,camden,new jersey,23.1,0.0,17.6,55,89,74.0
3126,2020-07-17,camden,new jersey,25.6,3.5,12.3,59,93,79.0
3127,2020-07-18,camden,new jersey,28.0,0.0,8.7,33,97,62.0
3128,2020-07-19,camden,new jersey,28.6,0.0,15.5,35,93,67.0
3129,2020-07-20,camden,new jersey,30.2,0.0,16.9,42,93,67.0
3130,2020-07-21,camden,new jersey,29.1,0.0,8.6,39,78,58.0
3131,2020-07-22,camden,new jersey,28.5,3.0,16.9,51,92,76.0
3132,2020-07-23,camden,new jersey,26.9,10.8,12.2,63,96,82.0
3133,2020-07-24,camden,new jersey,24.6,10.7,8.6,81,97,91.0
3134,2020-07-25,camden,new jersey,25.8,0.1,10.8,60,100,82.0
3135,2020-07-26,camden,new jersey,28.4,0.0,14.1,42,96,70.0
3136,2020-07-27,camden,new jersey,29.2,0.0,18.9,36,78,57.0
3137,2020-07-28,camden,new jersey,28.8,4.1,17.1,53,78,68.0
3138,2020-07-29,camden,new jersey,28.5,0.0,11.5,31,93,59.0
3139,2020-07-30,camden,new jersey,28.6,0.0,15.9,43,93,67.0
3140,2020-07-31,camden,new jersey,24.3,18.6,8.0,73,96,87.0
3141,2020-08-01,camden,new jersey,26.3,0.0,14.8,44,96,72.0
3142,2020-08-02,camden,new jersey,27.8,1.9,21.4,59,92,77.0
3143,2020-08-03,camden,new jersey,27.6,1.8,19.5,47,87,67.0
3144,2020-08-04,camden,new jersey,24.8,40.3,35.3,62,97,86.0
