time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-11-08,19.2,0.60,27.0
2020-11-09,19.9,0.00,23.9
2020-11-10,19.7,0.10,22.4
2020-11-11,21.5,12.80,11.9
2020-11-12,20.3,1.50,16.8
2020-11-13,16.4,0.00,16.6
2020-11-14,13.4,0.00,11.4
2020-11-15,15.0,0.40,25.1
2020-11-16,10.5,0.00,17.4
2020-11-17,10.0,0.00,24.2
2020-11-18,8.6,0.00,14.8
2020-11-19,8.1,0.00,14.1
2020-11-20,10.9,0.00,10.0
2020-11-21,13.6,0.00,8.3
2020-11-22,13.9,0.00,8.6
2020-11-23,11.7,0.00,21.9
2020-11-24,9.1,0.00,17.2
2020-11-25,14.2,3.90,25.2
2020-11-26,17.4,9.00,18.7
2020-11-27,13.5,0.00,8.9
2020-11-28,14.4,1.30,10.3
2020-11-29,12.2,19.40,19.4
2020-11-30,8.5,23.40,29.0
2020-12-01,2.1,0.00,24.0
2020-12-02,3.2,0.00,17.4
2020-12-03,4.9,0.00,10.7
2020-12-04,8.9,11.50,26.5
2020-12-05,6.7,0.00,20.9
2020-12-06,7.9,0.30,9.7
2020-12-07,6.5,0.00,26.5
2020-12-08,3.0,0.00,20.4
2020-12-09,5.9,0.00,14.3
2020-12-10,9.5,0.00,10.1
2020-12-11,9.7,0.00,11.9
2020-12-12,13.1,2.80,22.0
2020-12-13,14.5,1.40,15.0
2020-12-14,11.6,11.40,31.6
2020-12-15,6.1,0.00,19.1
2020-12-16,5.2,14.70,17.7
2020-12-17,3.9,0.00,19.8
2020-12-18,3.2,0.00,17.4
2020-12-19,3.3,0.00,12.5
2020-12-20,7.9,1.60,10.0
2020-12-21,8.8,0.10,18.8
2020-12-22,8.7,0.00,19.4
2020-12-23,7.9,1.10,16.5
2020-12-24,8.6,45.30,37.0
2020-12-25,-1.3,0.00,26.4
2020-12-26,-0.3,0.00,14.1
2020-12-27,3.1,0.00,9.7
2020-12-28,6.0,0.00,9.9
2020-12-29,8.9,0.00,12.1
2020-12-30,8.9,0.00,16.9
2020-12-31,11.1,0.20,13.0
