,date,county,state,total_cases,new_cases,future_delta7,future_delta14
1987,2020-05-21,wake,north carolina,1345,38,259,706
1988,2020-05-22,wake,north carolina,1389,44,272,744
1989,2020-05-23,wake,north carolina,1434,45,279,752
1990,2020-05-24,wake,north carolina,1448,14,299,807
1991,2020-05-25,wake,north carolina,1471,23,302,854
1992,2020-05-26,wake,north carolina,1478,7,400,962
1993,2020-05-27,wake,north carolina,1523,45,378,1018
1994,2020-05-28,wake,north carolina,1604,81,447,1119
1995,2020-05-29,wake,north carolina,1661,57,472,1122
1996,2020-05-30,wake,north carolina,1713,52,473,1271
1997,2020-05-31,wake,north carolina,1747,34,508,1274
1998,2020-06-01,wake,north carolina,1773,26,552,1338
1999,2020-06-02,wake,north carolina,1878,105,562,1357
2000,2020-06-03,wake,north carolina,1901,23,640,1472
2001,2020-06-04,wake,north carolina,2051,150,672,1456
2002,2020-06-05,wake,north carolina,2133,82,650,1446
2003,2020-06-06,wake,north carolina,2186,53,798,1647
2004,2020-06-07,wake,north carolina,2255,69,766,1629
2005,2020-06-08,wake,north carolina,2325,70,786,1761
2006,2020-06-09,wake,north carolina,2440,115,795,1771
2007,2020-06-10,wake,north carolina,2541,101,832,1792
2008,2020-06-11,wake,north carolina,2723,182,784,1746
2009,2020-06-12,wake,north carolina,2783,60,796,1885
2010,2020-06-13,wake,north carolina,2984,201,849,1813
2011,2020-06-14,wake,north carolina,3021,37,863,1817
2012,2020-06-15,wake,north carolina,3111,90,975,1890
2013,2020-06-16,wake,north carolina,3235,124,976,1943
2014,2020-06-17,wake,north carolina,3373,138,960,2006
2015,2020-06-18,wake,north carolina,3507,134,962,2083
2016,2020-06-19,wake,north carolina,3579,72,1089,2192
2017,2020-06-20,wake,north carolina,3833,254,964,1977
2018,2020-06-21,wake,north carolina,3884,51,954,2096
2019,2020-06-22,wake,north carolina,4086,202,915,2179
2020,2020-06-23,wake,north carolina,4211,125,967,2205
2021,2020-06-24,wake,north carolina,4333,122,1046,2272
2022,2020-06-25,wake,north carolina,4469,136,1121,2357
2023,2020-06-26,wake,north carolina,4668,199,1103,2397
2024,2020-06-27,wake,north carolina,4797,129,1013,2497
2025,2020-06-28,wake,north carolina,4838,41,1142,2652
2026,2020-06-29,wake,north carolina,5001,163,1264,2681
2027,2020-06-30,wake,north carolina,5178,177,1238,2723
2028,2020-07-01,wake,north carolina,5379,201,1226,2717
2029,2020-07-02,wake,north carolina,5590,211,1236,2683
2030,2020-07-03,wake,north carolina,5771,181,1294,2650
2031,2020-07-04,wake,north carolina,5810,39,1484,2858
2032,2020-07-05,wake,north carolina,5980,170,1510,2820
2033,2020-07-06,wake,north carolina,6265,285,1417,2709
2034,2020-07-07,wake,north carolina,6416,151,1485,2727
2035,2020-07-08,wake,north carolina,6605,189,1491,2708
2036,2020-07-09,wake,north carolina,6826,221,1447,2695
2037,2020-07-10,wake,north carolina,7065,239,1356,2649
2038,2020-07-11,wake,north carolina,7294,229,1374,2620
2039,2020-07-12,wake,north carolina,7490,196,1310,2501
2040,2020-07-13,wake,north carolina,7682,192,1292,2558
2041,2020-07-14,wake,north carolina,7901,219,1242,2476
2042,2020-07-15,wake,north carolina,8096,195,1217,2462
2043,2020-07-16,wake,north carolina,8273,177,1248,2494
2044,2020-07-17,wake,north carolina,8421,148,1293,2492
2045,2020-07-18,wake,north carolina,8668,247,1246,2369
2046,2020-07-19,wake,north carolina,8800,132,1191,2313
2047,2020-07-20,wake,north carolina,8974,174,1266,2331
2048,2020-07-21,wake,north carolina,9143,169,1234,2221
2049,2020-07-22,wake,north carolina,9313,170,1245,2179
2050,2020-07-23,wake,north carolina,9521,208,1246,2190
2051,2020-07-24,wake,north carolina,9714,193,1199,2134
2052,2020-07-25,wake,north carolina,9914,200,1123,2069
2053,2020-07-26,wake,north carolina,9991,77,1122,2037
2054,2020-07-27,wake,north carolina,10240,249,1065,1881
2055,2020-07-28,wake,north carolina,10377,137,987,1862
2056,2020-07-29,wake,north carolina,10558,181,934,1802
2057,2020-07-30,wake,north carolina,10767,209,944,1685
2058,2020-07-31,wake,north carolina,10913,146,935,1648
2059,2020-08-01,wake,north carolina,11037,124,946,1608
2060,2020-08-02,wake,north carolina,11113,76,915,1601
2061,2020-08-03,wake,north carolina,11305,192,816,1524
2062,2020-08-04,wake,north carolina,11364,59,875,1555
2063,2020-08-05,wake,north carolina,11492,128,868,1612
2064,2020-08-06,wake,north carolina,11711,219,741,1602
2065,2020-08-07,wake,north carolina,11848,137,713,1514
2066,2020-08-08,wake,north carolina,11983,135,662,1539
2067,2020-08-09,wake,north carolina,12028,45,686,1691
2068,2020-08-10,wake,north carolina,12121,93,708,1871
2069,2020-08-11,wake,north carolina,12239,118,680,1858
2070,2020-08-12,wake,north carolina,12360,121,744,2018
2071,2020-08-13,wake,north carolina,12452,92,861,2166
2072,2020-08-14,wake,north carolina,12561,109,801,2142
2073,2020-08-15,wake,north carolina,12645,84,877,2257
2074,2020-08-16,wake,north carolina,12714,69,1005,2236
2075,2020-08-17,wake,north carolina,12829,115,1163,2344
2076,2020-08-18,wake,north carolina,12919,90,1178,2411
2077,2020-08-19,wake,north carolina,13104,185,1274,2347
2078,2020-08-20,wake,north carolina,13313,209,1305,2242
2079,2020-08-21,wake,north carolina,13362,49,1341,2354
2080,2020-08-22,wake,north carolina,13522,160,1380,2220
2081,2020-08-23,wake,north carolina,13719,197,1231,2023
2082,2020-08-24,wake,north carolina,13992,273,1181,1827
2083,2020-08-25,wake,north carolina,14097,105,1233,1934
2084,2020-08-26,wake,north carolina,14378,281,1073,1697
