,date,county,state,total_cases,new_cases,future_delta7,future_delta14
647,2020-05-11,cook,illinois,53381,726,10309,19716
648,2020-05-12,cook,illinois,55470,2089,9221,18349
649,2020-05-13,cook,illinois,56406,936,9807,18115
650,2020-05-14,cook,illinois,58457,2051,9094,16849
651,2020-05-15,cook,illinois,59905,1448,9044,16361
652,2020-05-16,cook,illinois,61212,1307,9205,15907
653,2020-05-17,cook,illinois,62218,1006,9792,15707
654,2020-05-18,cook,illinois,63690,1472,9407,14805
655,2020-05-19,cook,illinois,64691,1001,9128,14982
656,2020-05-20,cook,illinois,66213,1522,8308,13991
657,2020-05-21,cook,illinois,67551,1338,7755,13162
658,2020-05-22,cook,illinois,68949,1398,7317,12395
659,2020-05-23,cook,illinois,70417,1468,6702,11507
660,2020-05-24,cook,illinois,72010,1593,5915,10417
661,2020-05-25,cook,illinois,73097,1087,5398,9722
662,2020-05-26,cook,illinois,73819,722,5854,9452
663,2020-05-27,cook,illinois,74521,702,5683,9064
664,2020-05-28,cook,illinois,75306,785,5407,8672
665,2020-05-29,cook,illinois,76266,960,5078,7983
666,2020-05-30,cook,illinois,77119,853,4805,7462
667,2020-05-31,cook,illinois,77925,806,4502,6981
668,2020-06-01,cook,illinois,78495,570,4324,6689
669,2020-06-02,cook,illinois,79673,1178,3598,5865
670,2020-06-03,cook,illinois,80204,531,3381,5654
671,2020-06-04,cook,illinois,80713,509,3265,5466
672,2020-06-05,cook,illinois,81344,631,2905,5207
673,2020-06-06,cook,illinois,81924,580,2657,4961
674,2020-06-07,cook,illinois,82427,503,2479,4750
675,2020-06-08,cook,illinois,82819,392,2365,4605
676,2020-06-09,cook,illinois,83271,452,2267,4513
677,2020-06-10,cook,illinois,83585,314,2273,4553
678,2020-06-11,cook,illinois,83978,393,2201,4672
679,2020-06-12,cook,illinois,84249,271,2302,4819
680,2020-06-13,cook,illinois,84581,332,2304,4826
681,2020-06-14,cook,illinois,84906,325,2271,4849
682,2020-06-15,cook,illinois,85184,278,2240,4938
683,2020-06-16,cook,illinois,85538,354,2246,4998
684,2020-06-17,cook,illinois,85858,320,2280,5053
685,2020-06-18,cook,illinois,86179,321,2471,5202
686,2020-06-19,cook,illinois,86551,372,2517,5223
687,2020-06-20,cook,illinois,86885,334,2522,5355
688,2020-06-21,cook,illinois,87177,292,2578,5355
689,2020-06-22,cook,illinois,87424,247,2698,5357
690,2020-06-23,cook,illinois,87784,360,2752,5269
691,2020-06-24,cook,illinois,88138,354,2773,5358
692,2020-06-25,cook,illinois,88650,512,2731,5355
693,2020-06-26,cook,illinois,89068,418,2706,5537
694,2020-06-27,cook,illinois,89407,339,2833,5731
695,2020-06-28,cook,illinois,89755,348,2777,5802
696,2020-06-29,cook,illinois,90122,367,2659,5762
697,2020-06-30,cook,illinois,90536,414,2517,5650
698,2020-07-01,cook,illinois,90911,375,2585,5751
699,2020-07-02,cook,illinois,91381,470,2624,5833
700,2020-07-03,cook,illinois,91774,393,2831,6016
701,2020-07-04,cook,illinois,92240,466,2898,6052
702,2020-07-05,cook,illinois,92532,292,3025,6138
703,2020-07-06,cook,illinois,92781,249,3103,6271
704,2020-07-07,cook,illinois,93053,272,3133,6411
705,2020-07-08,cook,illinois,93496,443,3166,6628
706,2020-07-09,cook,illinois,94005,509,3209,6790
707,2020-07-10,cook,illinois,94605,600,3185,6815
708,2020-07-11,cook,illinois,95138,533,3154,6817
709,2020-07-12,cook,illinois,95557,419,3113,7026
710,2020-07-13,cook,illinois,95884,327,3168,7124
711,2020-07-14,cook,illinois,96186,302,3278,7255
712,2020-07-15,cook,illinois,96662,476,3462,7339
713,2020-07-16,cook,illinois,97214,552,3581,7477
714,2020-07-17,cook,illinois,97790,576,3630,7703
715,2020-07-18,cook,illinois,98292,502,3663,7839
716,2020-07-19,cook,illinois,98670,378,3913,8043
717,2020-07-20,cook,illinois,99052,382,3956,8195
718,2020-07-21,cook,illinois,99464,412,3977,8280
719,2020-07-22,cook,illinois,100124,660,3877,8301
