,date,county,state,fips,cases,deaths,new_cases,new_deaths,case_delta_7,death_delta_7,case_delta_14,death_delta_14
122,2020-07-01,New York City,New York,,220143,22574.0,299.0,8.0,2054.0,736.0,4457.0,929.0
123,2020-07-02,New York City,New York,,220567,22593.0,424.0,19.0,2138.0,737.0,4554.0,920.0
124,2020-07-03,New York City,New York,,221028,22610.0,461.0,17.0,2229.0,717.0,4607.0,900.0
125,2020-07-04,New York City,New York,,221395,22630.0,367.0,20.0,2238.0,717.0,4592.0,911.0
126,2020-07-05,New York City,New York,,221637,22661.0,242.0,31.0,2156.0,721.0,4448.0,908.0
127,2020-07-06,New York City,New York,,221882,22672.0,245.0,11.0,2212.0,731.0,4395.0,876.0
128,2020-07-07,New York City,New York,,222156,22690.0,274.0,18.0,2312.0,124.0,4353.0,873.0
129,2020-07-08,New York City,New York,,222444,22696.0,288.0,6.0,2301.0,122.0,4355.0,858.0
130,2020-07-09,New York City,New York,,222723,22719.0,279.0,23.0,2156.0,126.0,4294.0,863.0
131,2020-07-10,New York City,New York,,223078,22739.0,355.0,20.0,2050.0,129.0,4279.0,846.0
132,2020-07-11,New York City,New York,,223382,22750.0,304.0,11.0,1987.0,120.0,4225.0,837.0
133,2020-07-12,New York City,New York,,223725,22755.0,343.0,5.0,2088.0,94.0,4244.0,815.0
134,2020-07-13,New York City,New York,,223977,22795.0,252.0,40.0,2095.0,123.0,4307.0,854.0
135,2020-07-14,New York City,New York,,224293,22808.0,316.0,13.0,2137.0,118.0,4449.0,242.0
136,2020-07-15,New York City,New York,,224662,22825.0,369.0,17.0,2218.0,129.0,4519.0,251.0
137,2020-07-16,New York City,New York,,225045,22842.0,383.0,17.0,2322.0,123.0,4478.0,249.0
138,2020-07-17,New York City,New York,,225414,22848.0,369.0,6.0,2336.0,109.0,4386.0,238.0
139,2020-07-18,New York City,New York,,225799,22859.0,385.0,11.0,2417.0,109.0,4404.0,229.0
140,2020-07-19,New York City,New York,,226104,22872.0,305.0,13.0,2379.0,117.0,4467.0,211.0
141,2020-07-20,New York City,New York,,226388,22882.0,284.0,10.0,2411.0,87.0,4506.0,210.0
142,2020-07-21,New York City,New York,,226779,22895.0,391.0,13.0,2486.0,87.0,4623.0,205.0
143,2020-07-22,New York City,New York,,227130,22899.0,351.0,4.0,2468.0,74.0,4686.0,203.0
144,2020-07-23,New York City,New York,,227517,22934.0,387.0,35.0,2472.0,92.0,4794.0,215.0
145,2020-07-24,New York City,New York,,227882,22936.0,365.0,2.0,2468.0,88.0,4804.0,197.0
146,2020-07-25,New York City,New York,,228220,22947.0,338.0,11.0,2421.0,88.0,4838.0,197.0
147,2020-07-26,New York City,New York,,228445,22956.0,225.0,9.0,2341.0,84.0,4720.0,201.0
148,2020-07-27,New York City,New York,,228740,22970.0,295.0,14.0,2352.0,88.0,4763.0,175.0
149,2020-07-28,New York City,New York,,228939,22977.0,199.0,7.0,2160.0,82.0,4646.0,169.0
150,2020-07-29,New York City,New York,,229237,22982.0,298.0,5.0,2107.0,83.0,4575.0,157.0
151,2020-07-30,New York City,New York,,229551,22996.0,314.0,14.0,2034.0,62.0,4506.0,154.0
152,2020-07-31,New York City,New York,,229834,23002.0,283.0,6.0,1952.0,66.0,4420.0,154.0
153,2020-08-01,New York City,New York,,230147,23007.0,313.0,5.0,1927.0,60.0,4348.0,148.0
154,2020-08-02,New York City,New York,,230410,23012.0,263.0,5.0,1965.0,56.0,4306.0,140.0
155,2020-08-03,New York City,New York,,230648,23021.0,238.0,9.0,1908.0,51.0,4260.0,139.0
156,2020-08-04,New York City,New York,,230964,23027.0,316.0,6.0,2025.0,50.0,4185.0,132.0
157,2020-08-05,New York City,New York,,231268,23034.0,304.0,7.0,2031.0,52.0,4138.0,135.0
158,2020-08-06,New York City,New York,,231600,23563.0,332.0,529.0,2049.0,567.0,4083.0,629.0
159,2020-08-07,New York City,New York,,231942,23567.0,342.0,4.0,2108.0,565.0,4060.0,631.0
160,2020-08-08,New York City,New York,,232271,23575.0,329.0,8.0,2124.0,568.0,4051.0,628.0
161,2020-08-09,New York City,New York,,232517,23580.0,246.0,5.0,2107.0,568.0,4072.0,624.0
162,2020-08-10,New York City,New York,,232756,23586.0,239.0,6.0,2108.0,565.0,4016.0,616.0
163,2020-08-11,New York City,New York,,233030,23592.0,274.0,6.0,2066.0,565.0,4091.0,615.0
164,2020-08-12,New York City,New York,,233422,23602.0,392.0,10.0,2154.0,568.0,4185.0,620.0
165,2020-08-13,New York City,New York,,233859,23610.0,437.0,8.0,2259.0,47.0,4308.0,614.0
166,2020-08-14,New York City,New York,,234223,23615.0,364.0,5.0,2281.0,48.0,4389.0,613.0
167,2020-08-15,New York City,New York,,234609,23621.0,386.0,6.0,2338.0,46.0,4462.0,614.0
168,2020-08-16,New York City,New York,,234918,23628.0,309.0,7.0,2401.0,48.0,4508.0,616.0
169,2020-08-17,New York City,New York,,235155,23634.0,237.0,6.0,2399.0,48.0,4507.0,613.0
